index	frame_id	xray_file_base_name	photo_file_name	specimen_position_in_frame	field_id	individual_id	xray_preprocessor_name	xray_preprocessed	xray_cropped_individual	photo_processor_name	is_photo_rearranged_relative_to_xray	photo_cropped-scaled	landmarks_registering_photo_to_xray	photo_warped	xray_postprocessor_name	xray_accentuated-edges	xray_accentuated-skeleton	xray_overalayed_accentuated-edges-skeleton	xray_overlayed_on_warped_photo	notes_file_processing
1	1	sde_xray_001	20241211_113803.jpg	1	Sde-C-0111-E	Sde-CMat_107	Chris Bird	sde_xray_001_bckgrnd-despeck-inv-scaled.tif	sde_xray_001-1_Sde-CMat_107.tif	Chris Bird	no	sde_photo_001_crpd.tif	sde_xray_001_landmarks.csv	sde_photo_001_warped.tif	Chris Bird				sde_photo_001_warped-edges-skel-overlay.tif	
2	1	sde_xray_001	20241211_113803.jpg	2	NA	Sde-AMat_083	Chris Bird	sde_xray_001_bckgrnd-despeck-inv-scaled.tif	sde_xray_001-2_Sde-AMat_083.tif	Chris Bird	no	sde_photo_001_crpd.tif	sde_xray_001_landmarks.csv	sde_photo_001_warped.tif	Chris Bird				sde_photo_001_warped-edges-skel-overlay.tif	
3	1	sde_xray_001	20241211_113803.jpg	3	Sde-C-0122-E	Sde-CMat_118	Chris Bird	sde_xray_001_bckgrnd-despeck-inv-scaled.tif	sde_xray_001-3_Sde-CMat_118.tif	Chris Bird	no	sde_photo_001_crpd.tif	sde_xray_001_landmarks.csv	sde_photo_001_warped.tif	Chris Bird				sde_photo_001_warped-edges-skel-overlay.tif	
4	1	sde_xray_001	20241211_113803.jpg	4	NA	Sde-AMat_093	Chris Bird	sde_xray_001_bckgrnd-despeck-inv-scaled.tif	sde_xray_001-4_Sde-AMat_093.tif	Chris Bird	no	sde_photo_001_crpd.tif	sde_xray_001_landmarks.csv	sde_photo_001_warped.tif	Chris Bird				sde_photo_001_warped-edges-skel-overlay.tif	
5	2	sde_xray_002	20241211_115702.jpg	1	Sde-C-0132-E	Sde-CMat_128	Chris Bird	sde_xray_002_bckgrnd-despeck-inv-scaled.tif		Chris Bird	yes	sde_photo_002_crpd-scaled.tif	sde_xray_002-1_landmarks.csv							"because the fish and labels were rearranged after xray in the photo, only on fish can be registered per set of landmarks"
6	2	sde_xray_002	20241211_115702.jpg	2	NA	Sde-AMat_091	Chris Bird	sde_xray_002_bckgrnd-despeck-inv-scaled.tif		Chris Bird	yes	sde_photo_002_crpd-scaled.tif	sde_xray_002-2_landmarks.csv							"because the fish and labels were rearranged after xray in the photo, only on fish can be registered per set of landmarks"
7	2	sde_xray_002	20241211_115702.jpg	3	Sde-C-0136-E	Sde-CMat_132	Chris Bird	sde_xray_002_bckgrnd-despeck-inv-scaled.tif		Chris Bird	yes	sde_photo_002_crpd-scaled.tif	sde_xray_002-3_landmarks.csv							"because the fish and labels were rearranged after xray in the photo, only on fish can be registered per set of landmarks"
8	2	sde_xray_002	20241211_115702.jpg	4	NA	Sde-AMat_094	Chris Bird	sde_xray_002_bckgrnd-despeck-inv-scaled.tif		Chris Bird	yes	sde_photo_002_crpd-scaled.tif	sde_xray_002-4_landmarks.csv							"because the fish and labels were rearranged after xray in the photo, only on fish can be registered per set of landmarks"
9	3	sde_xray_003	20241211_125801.jpg	1	Sde-C-0127-E	Sde-CMat_123	Chris Bird	sde_xray_003_bckgrnd-despeck-inv-scaled.tif			no	sde_photo_003_cropped-scaled.tif	sde_landmarks_003.csv		Myron Baring					
10	3	sde_xray_003	20241211_125801.jpg	2	NA	Sde-AMat_088	Chris Bird	sde_xray_003_bckgrnd-despeck-inv-scaled.tif			no	sde_photo_003_cropped-scaled.tif	sde_landmarks_003.csv		Myron Baring					
11	3	sde_xray_003	20241211_125801.jpg	3	Sde-C-0105-E	Sde-CMat_101	Chris Bird	sde_xray_003_bckgrnd-despeck-inv-scaled.tif			no	sde_photo_003_cropped-scaled.tif	sde_landmarks_003.csv		Myron Baring					
12	3	sde_xray_003	20241211_125801.jpg	4	NA	Sde-AMat_095	Chris Bird	sde_xray_003_bckgrnd-despeck-inv-scaled.tif			no	sde_photo_003_crpd-scaled.tif	sde_landmarks_003.csv		Myron Baring					
13	4	sde_xray_004	20241211_130903.jpg	1	Sde-C-0126-E	Sde-CMat_122	Chris Bird	sde_xray_004_bckgrnd-despeck-inv-scaled.tif	sde_xray_004-1_Sde-CMat_122.tif	Chris Bird	labels only	sde_photo_004_cropped-scaled.tif								
14	4	sde_xray_004	20241211_130903.jpg	2	NA	Sde-AMat_087	Chris Bird	sde_xray_004_bckgrnd-despeck-inv-scaled.tif	sde_xray_004-2_Sde-AMat_087.tif	Chris Bird	labels only	sde_photo_004_cropped-scaled.tif								
15	4	sde_xray_004	20241211_130903.jpg	3	Sde-C-0109-E	Sde-CMat_105	Chris Bird	sde_xray_004_bckgrnd-despeck-inv-scaled.tif	sde_xray_004-3_Sde-CMat_105.tif	Chris Bird	labels only	sde_photo_004_cropped-scaled.tif								
16	4	sde_xray_004	20241211_130903.jpg	4	NA	Sde-AMat_092	Chris Bird	sde_xray_004_bckgrnd-despeck-inv-scaled.tif	sde_xray_004-4_Sde-AMat_092.tif	Chris Bird	labels only	sde_photo_004_cropped-scaled.tif								
17	5	sde_xray_005	20241211_131857.jpg	1	Sde-C-0142-E	Sde-CMat_138	Chris Bird	sde_xray_005_bckgrnd-despeck-inv-scaled.tif				sde_photo_005_cropped-scaled.tif								
18	5	sde_xray_005	20241211_131857.jpg	2	NA	Sde-AMat_086	Chris Bird	sde_xray_005_bckgrnd-despeck-inv-scaled.tif				sde_photo_005_cropped-scaled.tif								
19	5	sde_xray_005	20241211_131857.jpg	3	Sde-C-0130-E	Sde-CMat_126	Chris Bird	sde_xray_005_bckgrnd-despeck-inv-scaled.tif				sde_photo_005_cropped-scaled.tif								
20	5	sde_xray_005	20241211_131857.jpg	4	NA	Sde-AMat_084	Chris Bird	sde_xray_005_bckgrnd-despeck-inv-scaled.tif				sde_photo_005_cropped-scaled.tif								
21	6	sde_xray_006	20241211_133009.jpg	1	Sde-C-0141-E	Sde-CMat_137	Chris Bird	sde_xray_006_bckgrnd-despeck-inv-scaled.tif												
22	6	sde_xray_006	20241211_133009.jpg	2	NA	Sde-AMat_082	Chris Bird	sde_xray_006_bckgrnd-despeck-inv-scaled.tif												
23	6	sde_xray_006	20241211_133009.jpg	3	Sde-C-0102-E	Sde-CMat_098	Chris Bird	sde_xray_006_bckgrnd-despeck-inv-scaled.tif												
24	6	sde_xray_006	20241211_133009.jpg	4	NA	Sde-AMat_096	Chris Bird	sde_xray_006_bckgrnd-despeck-inv-scaled.tif												
25	7	sde_xray_007	20241211_133808.jpg	1	Sde-C-0131-E	Sde-CMat_127	Chris Bird	sde_xray_007_bckgrnd-despeck-inv-scaled.tif												
26	7	sde_xray_007	20241211_133808.jpg	2	NA	Sde-AMat_050	Chris Bird	sde_xray_007_bckgrnd-despeck-inv-scaled.tif												
27	7	sde_xray_007	20241211_133808.jpg	3	Sde-C-0107-E	Sde-CMat_103	Chris Bird	sde_xray_007_bckgrnd-despeck-inv-scaled.tif												
28	7	sde_xray_007	20241211_133808.jpg	4	NA	Sde-AMat_085	Chris Bird	sde_xray_007_bckgrnd-despeck-inv-scaled.tif												
29	8	sde_xray_008	20241211_134542.jpg	1	Sde-C-0129-E	Sde-CMat_125	Chris Bird	sde_xray_008_bckgrnd-despeck-inv-scaled.tif												
30	8	sde_xray_008	20241211_134542.jpg	2	NA	Sde-AMat_074	Chris Bird	sde_xray_008_bckgrnd-despeck-inv-scaled.tif												
31	8	sde_xray_008	20241211_134542.jpg	3	Sde-C-0148-E	Sde-CMat_144	Chris Bird	sde_xray_008_bckgrnd-despeck-inv-scaled.tif												
32	8	sde_xray_008	20241211_134542.jpg	4	NA	Sde-AMat_089	Chris Bird	sde_xray_008_bckgrnd-despeck-inv-scaled.tif												
33	9	sde_xray_009	20241211_135358.jpg	1	Sde-C-0128-E	Sde-CMat_124	Chris Bird	sde_xray_009_bckgrnd-despeck-inv-scaled.tif												
34	9	sde_xray_009	20241211_135358.jpg	2	NA	Sde-AMat_063	Chris Bird	sde_xray_009_bckgrnd-despeck-inv-scaled.tif												
35	9	sde_xray_009	20241211_135358.jpg	3	Sde-C-0138-E	Sde-CMat_134	Chris Bird	sde_xray_009_bckgrnd-despeck-inv-scaled.tif												
36	9	sde_xray_009	20241211_135358.jpg	4	NA	Sde-AMat_075	Chris Bird	sde_xray_009_bckgrnd-despeck-inv-scaled.tif												
37	10	sde_xray_010	20241211_135928.jpg	1	Sde-C-0139-E	Sde-CMat_135	Chris Bird	sde_xray_010_bckgrnd-despeck-inv-scaled.tif												
38	10	sde_xray_010	20241211_135928.jpg	2	NA	Sde-AMat_064	Chris Bird	sde_xray_010_bckgrnd-despeck-inv-scaled.tif												
39	10	sde_xray_010	20241211_135928.jpg	3	Sde-C-0149-E	Sde-CMat_145	Chris Bird	sde_xray_010_bckgrnd-despeck-inv-scaled.tif												
