truss,p_value,p_adj
LM1-10_norm,7.897139886441567e-15,9.47656786372988e-14
LM1-2_norm,0.004739905719506658,0.0100374474060141
LM1-4_norm,0.04441280583212136,0.08415057947138783
LM11-17_norm,1.806644655400906e-5,7.226578621603624e-5
LM11-20_norm,1.8498398409148055e-6,8.324279284116624e-6
LM12-13_norm,0.3566105220046143,0.44268892386779707
LM12-14_norm,0.040439962725634604,0.08087992545126921
LM12-15_norm,0.22912377470233508,0.32263966546341455
LM13-14_norm,1.8613180216333302e-4,6.091586252618172e-4
LM13-15_norm,0.21551525922291032,0.32263966546341455
LM13-16_norm,0.6843156640648738,0.7314363313446178
LM14-15_norm,0.4182305395721364,0.5018766474865637
LM14-18_norm,0.16837781002978655,0.2635478765683616
LM15-16_norm,1.1204110295263522e-11,8.066959412589736e-11
LM15-20_norm,0.8337085066567153,0.8575287497040499
LM16-18_norm,0.16460223982906244,0.2635478765683616
LM16-19_norm,0.609680615382813,0.6858906923056647
LM17-18_norm,0.003043016600036916,0.007824899828666356
LM17-19_norm,0.23301753616802162,0.32263966546341455
LM17-20_norm,0.29282616676371775,0.3904348890182903
LM18-19_norm,0.07152724317800621,0.12261813116229636
LM2-3_norm,1.6671757743107966e-18,6.001832787518867e-17
LM4-5_norm,0.8806496200332972,0.8806496200332972
LM5-6_norm,1.7915638922042552e-8,1.0749383353225531e-7
LM6-10_norm,0.004427329181107529,0.00996149065749194
LM6-11_norm,4.165192726123046e-15,7.497346907021483e-14
LM6-12_norm,7.217825896505213e-7,3.7120247467741097e-6
LM6-15_norm,3.898000091988728e-5,1.403280033115942e-4
LM6-9_norm,2.3969148725945105e-13,2.1572233853350594e-12
LM7-11_norm,0.6908009796032502,0.7314363313446178
LM7-12_norm,0.001473456747065304,0.004080341761103919
LM7-14_norm,0.0041866559074815145,0.00996149065749194
LM7-9_norm,0.4635670510976818,0.5383359303069853
LM9-10_norm,0.32841371465690117,0.42224620455887296
LM9-13_norm,0.0545470384110157,0.09818466913982826
LM9-14_norm,0.0013594468167036323,0.004078340450110897
