sample_id,spatial,temporal,group,LM1-4_Raw,LM4-5_Raw,LM5-6_Raw,LM6-11_Raw,LM7-11_Raw,LM7-9_Raw,LM9-10_Raw,LM1-10_Raw,LM1-2_Raw,LM2-3_Raw,LM6-10_Raw,LM6-9_Raw,LM11-17_Raw,LM7-12_Raw,LM6-12_Raw,LM7-14_Raw,LM9-13_Raw,LM9-14_Raw,LM12-14_Raw,LM13-14_Raw,LM12-15_Raw,LM12-13_Raw,LM14-18_Raw,LM13-16_Raw,LM13-15_Raw,LM13-18_Raw,LM14-15_Raw,LM15-16_Raw,LM6-15_Raw,LM16-18_Raw,LM17-18_Raw,LM17-19_Raw,LM16-19_Raw,LM18-19_Raw,LM15-20_Raw,LM11-20_Raw,LM17-20_Raw,LM1-4_Madj,LM4-5_Madj,LM5-6_Madj,LM6-11_Madj,LM7-11_Madj,LM7-9_Madj,LM9-10_Madj,LM1-10_Madj,LM1-2_Madj,LM2-3_Madj,LM6-10_Madj,LM6-9_Madj,LM11-17_Madj,LM7-12_Madj,LM6-12_Madj,LM7-14_Madj,LM9-13_Madj,LM9-14_Madj,LM12-14_Madj,LM13-14_Madj,LM12-15_Madj,LM12-13_Madj,LM14-18_Madj,LM13-16_Madj,LM13-15_Madj,LM13-18_Madj,LM14-15_Madj,LM15-16_Madj,LM6-15_Madj,LM16-18_Madj,LM17-18_Madj,LM17-19_Madj,LM16-19_Madj,LM18-19_Madj,LM15-20_Madj,LM11-20_Madj,LM17-20_Madj
Sde-CMat_107 ,Matnog,Contemporary,CMat,138.73778629976763,143.8762364425759,158.9333410463645,109.81714334223958,103.13031896547206,192.48791206257604,231.29319329805188,259.92340582211904,159.520962749759,148.91439865053343,376.3333804361899,321.50034496183673,1689.0529899418545,573.99122873929,629.4811471816213,739.8379944303751,971.0889375639803,864.2048688813608,429.3007992774297,349.4746168014066,830.9323592858568,251.00830167588083,1039.0152554796732,727.3485804573279,596.5620460222475,952.3668003930841,551.3673873475291,174.60120376686965,1413.129289506891,354.4090406914165,122.78311069968078,135.13992721457268,291.10839921953465,182.4380937981155,220.7209841533877,1201.132341809261,487.9443115209356,136.8644155439,141.7291381184,157.3802218242,108.5010249998,101.4942975701,189.5073700773,228.0339481724,256.4069341316,156.9859266128,147.3147789304,371.5089858324,317.1992980918,1660.4149790999,564.4371982186,618.306060354,727.5610761651,955.4420799575,850.116051647,422.9237720331,344.4912053743,817.0988824693,247.0615431941,1021.9163001463,715.3358822925,586.3168827641,936.5744970722,541.5053507836,172.2856059329,1389.0064724901,348.8864847355,121.0200715391,133.1363455666,286.2605448345,179.6868895733,217.2074836637,1180.6028420382,479.8332767879
Sde-AMat_083 ,Matnog,Historical,AMat,95.98431651082377,137.88200140428052,138.40957103466508,76.91360279046872,98.13215504461317,137.95026311486322,189.10942410599216,190.50262135868368,110.81621444648796,140.67041876929912,329.39857755122443,263.85672186777805,1229.1898295296012,388.47185737652865,393.26427528106336,487.99787118920915,682.2195751669178,582.3016714303506,302.0080236906463,254.2357056025176,637.1394432876763,188.62548114790846,796.1704106881957,518.2745006801321,458.4755497832029,731.9600094453523,455.52989065592624,77.78398232213361,1008.7980885733527,274.621076793024,87.07388473267969,109.76419110752835,257.04744434226535,127.33221110390728,142.95139739142112,888.2275169842129,341.22634640544686,122.7754424988,181.0293177654,165.3455726853,95.6797628566,131.0882115253,182.9971447552,244.5212835538,243.7916296759,148.1080773711,171.0544067993,416.0890419273,336.731461634,1675.319186693,526.4502758095,543.9358774863,660.7073338979,915.5180840042,784.1680000505,396.0141873938,329.7484540328,863.4916249014,251.3239722794,1075.227441177,700.6880618211,627.3989081042,990.7940935294,631.6117636475,99.0563815013,1377.8637620423,364.9551567268,113.1425500659,143.8552350561,348.3987021501,167.6613205702,191.1513975736,1213.6588009875,462.236376138
Sde-CMat_118 ,Matnog,Contemporary,CMat,115.46857073489737,147.10035815296305,153.79098657918806,94.13806865859311,112.93874609973324,164.59610748495842,220.96765071632095,232.43658590809235,130.35570283328616,165.21066268376873,341.9250894630869,288.6130246285673,1457.297143706365,485.8625875420849,532.5905688471962,579.5330985150374,835.3944377671725,699.7176753338449,338.91674208839254,301.2948880980393,712.8612816958148,217.52509707387787,946.3032992907773,647.1448186134305,511.969054973052,838.7624338327272,514.396881917659,168.09568709401793,1210.1587465578968,301.89884245490265,109.77287716444367,116.56479242532878,233.89134945912375,160.67800653792048,178.87345175908578,1035.796589150177,421.5271341599374,126.982639924,163.406403429,164.7212224995,102.4179305486,126.2985710054,183.571345305,244.0175354423,255.6611998868,145.8047479214,178.168866241,374.2040312131,317.1115268051,1642.3775060828,546.3619465443,603.6477272039,651.4607199097,935.8701735402,784.9339772131,376.3018525362,333.1214176047,801.6448193679,243.0148850232,1062.7150034126,727.0589626371,577.8882979637,942.7840445696,583.5816408727,184.5424103666,1364.9720888725,336.9375715928,121.4539312729,129.3966321622,263.0306833313,178.6881231094,200.1105606409,1168.4810735955,473.941211232
Sde-AMat_093 ,Matnog,Historical,AMat,90.10211747484075,129.21468023045986,141.34144557237977,80.73029713570985,87.34133907514811,143.05909211388843,175.55311556121697,175.06748639367618,100.8012608541183,137.0135747815157,323.91487623982323,261.8349782344024,1166.2150153438174,381.27033675228387,385.4578587719544,488.9330973304425,678.653774585613,591.1379386670509,293.57290193956936,246.79340743992734,576.7004718683436,181.50864111168377,749.3813915108648,532.7930415276086,409.6302971016182,688.4781789252655,388.42248001660516,150.84818860046013,940.1566272291283,232.89978044448642,86.61849476156914,98.8981522484621,194.63764069493342,129.41696567683852,162.606643349065,791.6058566022487,375.0140675761379,119.1795622368,176.0561907148,172.9856443713,103.4576122418,121.3648281126,197.2174541428,235.0749903904,231.6898540741,140.1497973579,171.1032201389,422.3859527318,345.4324974562,1657.9292088104,538.5199673768,557.208975441,689.852556233,947.9440581635,828.9881370909,399.4216331537,331.6324174095,814.6076052262,251.477563583,1054.298318805,750.5053451842,585.0143446907,971.1558310177,563.0686787999,198.5302477978,1339.7899320733,321.7285046683,116.6362843742,134.4762464565,274.960289843,176.9108829867,226.207770437,1128.5974095172,529.4392407391
Sde-CMat_128 ,Matnog,Contemporary,CMat,106.24684002802154,140.0492628407947,160.63129457054742,88.38865195017964,81.85971369391666,156.71571718002627,203.36997094765493,217.04885462070516,124.81600332733781,159.68210108327727,331.91919856181863,257.3638771609761,1288.7145353464941,413.5820793173949,448.23502014661904,565.943075469627,725.0414033620493,674.5237674626223,344.56998423432066,273.971883139055,638.0658217563531,184.59595800731938,792.6651265529789,623.868762930987,469.7047885845002,765.1020225687616,389.95510114459347,190.87375041291037,1050.8867125535703,254.13778345261835,98.5013624119483,108.03766304974391,196.070611588504,140.45629956239057,175.09770188580436,889.9952787181795,398.7192580174176,127.7337606204,171.6910075499,183.489004193,104.0728342595,101.6615100468,193.6116518555,246.483128101,261.0368094133,155.0684877882,184.8421189847,395.3182969766,308.8817843258,1624.6954882328,519.1834609311,571.344321645,709.949859587,903.5212513188,842.7695119138,422.0203135448,332.8211974656,801.0210958956,228.8081497448,992.4851021157,781.771007597,593.9485092009,959.6283962853,497.9748260609,228.7178980378,1326.9728661151,314.3942877984,119.8228513867,132.2699077519,246.1617687317,172.5621815944,217.6173750648,1124.1423379348,500.3737230137
Sde-AMat_091 ,Matnog,Historical,AMat,99.44494912467901,134.56892292461143,143.92591761420175,89.57737649680304,85.24809623029715,145.54044705939992,204.6653248595864,202.33832927179168,115.00534669240385,133.96768319956868,330.6553278718037,260.2351514955849,1267.5251431241904,398.17400284379437,427.9539260605164,507.5149081501449,722.6869063798306,609.2510840483585,294.50010494402204,228.90778339298555,643.252840573938,222.74982653472495,819.9186273118816,546.0695183707749,431.50953761914695,736.2643078773342,438.3322644204965,144.117414336228,1042.00531677122,264.0609456992079,93.95575202189607,101.64902881528181,224.88609808969946,120.35561423087002,166.45617642878258,876.17680156092365,391.4017941538974,122.5390612312,169.5304908314,167.3591633111,107.8029578711,108.9831147083,184.9641102478,254.5168222326,249.428019378,147.0895567001,158.1417898254,403.1317293441,320.0465397108,1648.28972693,515.2825351129,563.4948950448,656.2607259618,927.4984496202,784.2369504801,370.6147706143,285.4117233903,832.4845003472,284.1468711053,1057.9566645038,705.2518606533,563.0552435819,951.8765925164,578.3679040334,176.9214362149,1357.4699846545,336.1033779049,117.3292550297,127.8638300463,291.0654422477,151.9961300788,212.9830047256,1141.8171572135,506.3441979898
Sde-CMat_132 ,Matnog,Contemporary,CMat,113.69019072268281,149.4390302063354,147.88097596124388,98.80019217536974,104.17540599748098,161.13750181075173,213.91461227379955,230.68299270767662,131.34493428617645,154.23971805374904,354.1819200448407,292.4206921496835,1456.7481055451765,476.062623021604,511.69202796262124,618.7119181533519,830.9705655790463,732.5539050718453,358.16885527752135,299.05746672880446,749.3978598877636,224.6217141920167,921.4936315194802,680.7121948226651,546.4873251640884,853.5581417538057,499.42510770509926,172.58769368842593,1227.0934990815413,298.74221140883316,114.34848961398643,116.13926328374033,229.15321470712558,158.91198502784488,203.68554106700847,1029.854058560246,426.8965076845324,125.3767740058,166.5181290609,158.7111975496,107.7568172491,116.8821182556,180.2913764621,236.9188334827,254.4437524181,147.3957251532,166.7070672618,388.6472424218,322.185829873,1647.5393062129,537.1917801782,582.1000917102,697.8983082449,934.027488865,824.5501906416,398.90277800489997,331.6251655049,845.6448214244,251.7618608123,1038.3888559854,767.3937348947,619.0512182899,962.7176976686,568.7019676568,189.9945730983,1388.9800622408,334.4925739428,126.8930939987,129.3206783256,258.5932826807,177.2769500882,228.6212930023,1165.9012124734,481.634766331
Sde-AMat_094 ,Matnog,Historical,AMat,93.04298525052812,133.3158023692991,146.22840901770755,83.36457446565659,86.38034861298024,158.55910407037499,182.83154857291453,197.2690187662523,112.0560072164808,139.03976933417283,323.7075242641882,265.9870472881339,1268.3262816807867,414.22309033623407,444.9918607317217,549.5535483224361,760.6579776195409,657.0651019809985,323.336051743631,262.4676946458173,646.9164878144938,223.5292388612506,793.1978084715627,577.4984529332091,434.52601143200854,712.9980372217022,444.41864574515773,168.94736978763527,1070.4844857275607,198.3697396359888,86.15218800332342,121.52390858905078,175.14714906686316,131.65354063222145,168.15310895728334,897.1752650457769,371.4566342660338,114.9979183036,168.5149774244,170.4087062194,100.595764277,110.8244699013,202.2105768364,228.0843977312,243.9175374654,143.829469362,164.5242478266,395.7963685804,328.1028075846,1655.6229512464,538.0588770371,588.2704285402,713.272700527,979.7676312578,848.8847221313,408.2615521625,328.3037409697,840.3611296225,286.1490253108,1027.2664865595,748.613070444,569.1822774309,925.2349715806,588.7598061504,208.020606798,1399.9273863989,253.3743723905,107.93137614,153.3735578142,227.5384986113,166.8276232307,215.9242850872,1173.678183716,482.338527328
Sde-CMat_123 ,Matnog,Contemporary,CMat,90.17891786897864,146.73644795295408,159.18545425766766,95.60160147330163,104.28544178398056,144.0000277822543,188.39257947047696,217.18857956959891,128.01767330056427,141.3065467245237,342.412846361304,287.77729035483327,1414.0096883328804,471.24041999821065,488.2354465786051,608.7559951479576,776.5142519086304,705.9578468784451,353.25980586600855,294.6157367495667,735.8337192362145,190.40296390014515,901.553410317991,678.9242992038288,552.3559952669657,851.0290930670292,535.5299656094792,141.3049519417135,1207.750085938399,244.87477071727915,88.41870829417284,106.10190217243989,200.4206408775303,133.21180152313832,188.01507489943475,1007.9947238205217,406.4819850290538,102.4546786443,168.9813312875,174.5582810049,107.0586612819,121.1764920726,166.7193970807,215.2401138353,246.8146144539,148.7922463252,156.3845837542,386.5031762999,326.5630832071,1660.2409318489,551.6646073842,577.6410597427,712.3034451192,904.4322599712,823.7445262402,406.546561007,337.1409314089,861.441263441,220.9471453753,1053.5243636213,793.8134198146,649.8970080466,995.6733287824,634.4060517826,160.1729979276,1419.6279655094,283.7748997831,101.2768571464,122.0735033355,234.6437346216,153.6360620315,218.5817008201,1185.0701199996,475.7540843902
Sde-AMat_088 ,Matnog,Historical,AMat,70.41462733679701,86.54522102952885,142.9619193593175,89.67593702465555,96.46687297191717,141.77056840151977,157.91283749857075,217.08986863223257,91.03011895197103,113.85477360304225,320.4917468886367,268.363446224183,1279.9119595386003,408.6929572692561,435.1369760847726,890.805712162585,728.94546556226,987.5109958661626,601.0653272394442,409.6137160362188,702.2081419229629,217.0671318211488,487.2975626626506,603.060105609018,493.9332624118769,746.5958662293544,144.5513659369567,128.39144625028567,1115.3605512943786,226.5603819025736,93.82060757685386,108.11459829440255,183.24937280004545,140.4617583119691,184.24898824102124,898.457121476195,381.4912093590754,89.164809784,112.3671985437,169.5440319143,110.5624837798,127.3438193219,185.9000058204,202.0449686636,275.0225444444,120.2261029237,137.3417920444,400.9811477536,339.077570174,1722.4574970622,546.9988484417,593.9055800775,1191.1935029143,966.5038763448,1313.7315124254,779.455927113,525.6453236339,939.8962187906,285.8385702883,650.0422919434,805.302897406,667.2890550691,998.1450493578,197.7606541839,161.8923677463,1504.0742765806,297.597330396,120.6079482488,140.1316595045,245.2982874974,182.8759001227,243.4577792574,1212.0338174352,510.3930856875
