sample_id,site,LM1-4,LM4-5,LM5-6,LM6-11,LM7-11,LM7-9,LM9-10,LM1-10,LM1-2,LM2-3,LM6-10,LM6-9,LM11-17,LM7-12,LM6-12,LM7-14,LM9-13,LM9-14,LM12-14,LM13-14,LM12-15,LM12-13,LM14-18,LM13-16,LM13-15,LM14-15,LM15-16,LM6-15,LM16-18,LM17-18,LM17-19,LM16-19,LM18-19,LM15-20,LM11-20,LM17-20
Sde-CMat_107 ,Matnog,138.73778629976763,143.8762364425759,158.9333410463645,109.81714334223958,103.13031896547206,192.48791206257604,231.29319329805188,259.92340582211904,159.520962749759,148.91439865053343,376.3333804361899,321.50034496183673,1689.0529899418545,573.99122873929,629.4811471816213,739.8379944303751,971.0889375639803,864.2048688813608,429.3007992774297,349.4746168014066,830.9323592858568,251.00830167588083,1039.0152554796732,727.3485804573279,596.5620460222475,551.3673873475291,174.60120376686965,1413.129289506891,354.4090406914165,122.78311069968078,135.13992721457268,291.10839921953465,182.4380937981155,220.7209841533877,1201.132341809261,487.9443115209356
Sde-AMat_083 ,Matnog,95.98431651082377,137.88200140428052,138.40957103466508,76.91360279046872,98.13215504461317,137.95026311486322,189.10942410599216,190.50262135868365,110.81621444648796,140.67041876929912,329.39857755122443,263.85672186777805,1229.1898295296012,388.47185737652865,393.26427528106336,487.99787118920915,682.2195751669178,582.3016714303506,302.0080236906463,254.2357056025176,637.1394432876763,188.62548114790846,796.1704106881957,518.2745006801321,458.4755497832029,455.52989065592624,77.78398232213361,1008.7980885733527,274.621076793024,87.07388473267969,109.76419110752835,257.04744434226535,127.33221110390728,142.95139739142112,888.2275169842129,341.22634640544686
Sde-CMat_118 ,Matnog,115.46857073489737,147.10035815296305,153.79098657918806,94.13806865859311,112.93874609973324,164.59610748495842,220.96765071632095,232.43658590809235,130.35570283328616,165.21066268376873,341.9250894630869,288.6130246285673,1457.297143706365,485.8625875420849,532.5905688471962,579.5330985150374,835.3944377671725,699.7176753338449,338.91674208839254,301.2948880980393,712.8612816958148,217.52509707387787,946.3032992907773,647.1448186134305,511.969054973052,514.396881917659,168.09568709401793,1210.1587465578968,301.89884245490265,109.77287716444367,116.56479242532878,233.89134945912375,160.67800653792048,178.87345175908578,1035.796589150177,421.5271341599374
Sde-AMat_093 ,Matnog,90.10211747484075,129.21468023045986,141.34144557237977,80.73029713570983,87.34133907514811,143.05909211388843,175.55311556121697,175.06748639367618,100.8012608541183,137.0135747815157,323.91487623982323,261.8349782344024,1166.2150153438174,381.27033675228387,385.4578587719544,488.9330973304425,678.653774585613,591.1379386670509,293.57290193956936,246.79340743992734,576.7004718683436,181.50864111168377,749.3813915108648,532.7930415276086,409.6302971016182,388.42248001660516,150.84818860046013,940.1566272291283,232.89978044448642,86.61849476156914,98.89815224846208,194.63764069493342,129.41696567683852,162.606643349065,791.6058566022487,375.0140675761379
Sde-CMat_128 ,Matnog,106.24684002802154,140.0492628407947,160.63129457054742,88.38865195017964,81.85971369391666,156.71571718002627,203.36997094765493,217.04885462070516,124.81600332733781,159.68210108327727,331.91919856181863,257.3638771609761,1288.7145353464941,413.5820793173949,448.23502014661904,565.943075469627,725.0414033620493,674.5237674626223,344.5699842343206,273.971883139055,638.0658217563531,184.59595800731938,792.6651265529789,623.868762930987,469.7047885845002,389.95510114459347,190.87375041291037,1050.8867125535703,254.13778345261835,98.5013624119483,108.03766304974391,196.070611588504,140.45629956239057,175.09770188580436,889.9952787181795,398.7192580174176
Sde-AMat_091 ,Matnog,99.44494912467901,134.56892292461143,143.92591761420175,89.57737649680303,85.24809623029715,145.54044705939992,204.6653248595864,202.33832927179165,115.00534669240385,133.96768319956868,330.6553278718037,260.2351514955849,1267.5251431241904,398.17400284379437,427.9539260605164,507.5149081501449,722.6869063798306,609.2510840483585,294.5001049440221,228.90778339298552,643.252840573938,222.74982653472495,819.9186273118816,546.0695183707749,431.50953761914695,438.3322644204965,144.117414336228,1042.00531677122,264.0609456992079,93.95575202189607,101.64902881528181,224.88609808969946,120.35561423087002,166.45617642878258,876.17680156092365,391.4017941538974
Sde-CMat_132 ,Matnog,113.69019072268281,149.4390302063354,147.88097596124388,98.80019217536974,104.17540599748098,161.13750181075173,213.91461227379955,230.68299270767665,131.34493428617645,154.23971805374904,354.1819200448407,292.4206921496835,1456.7481055451765,476.062623021604,511.69202796262124,618.7119181533519,830.9705655790463,732.5539050718453,358.16885527752135,299.05746672880446,749.3978598877636,224.6217141920167,921.4936315194802,680.7121948226651,546.4873251640884,499.42510770509926,172.58769368842593,1227.0934990815413,298.74221140883316,114.34848961398643,116.13926328374035,229.15321470712558,158.91198502784488,203.68554106700847,1029.854058560246,426.8965076845324
Sde-AMat_094 ,Matnog,93.04298525052812,133.3158023692991,146.22840901770755,83.36457446565659,86.38034861298024,158.55910407037499,182.83154857291453,197.2690187662523,112.0560072164808,139.03976933417283,323.7075242641882,265.98704728813385,1268.3262816807867,414.22309033623407,444.9918607317217,549.5535483224361,760.6579776195409,657.0651019809985,323.336051743631,262.4676946458173,646.9164878144938,223.5292388612506,793.1978084715627,577.4984529332091,434.5260114320086,444.41864574515773,168.94736978763527,1070.4844857275607,198.3697396359888,86.15218800332342,121.52390858905078,175.14714906686316,131.65354063222145,168.15310895728334,897.1752650457769,371.4566342660338
Sde-CMat_123 ,Matnog,90.17891786897864,146.73644795295408,159.18545425766766,95.60160147330163,104.28544178398056,144.0000277822543,188.39257947047696,217.18857956959891,128.01767330056427,141.3065467245237,342.412846361304,287.77729035483327,1414.0096883328804,471.24041999821065,488.2354465786051,608.7559951479576,776.5142519086304,705.9578468784451,353.25980586600855,294.6157367495667,735.8337192362145,190.40296390014515,901.553410317991,678.9242992038288,552.3559952669657,535.5299656094792,141.3049519417135,1207.750085938399,244.87477071727915,88.41870829417284,106.10190217243989,200.4206408775303,133.21180152313832,188.01507489943472,1007.9947238205217,406.4819850290538
Sde-AMat_088 ,Matnog,70.41462733679701,86.54522102952885,142.9619193593175,89.67593702465555,96.46687297191717,141.77056840151977,157.91283749857075,217.08986863223257,91.03011895197103,113.85477360304225,320.4917468886367,268.363446224183,1279.9119595386003,408.6929572692561,435.1369760847726,890.805712162585,728.94546556226,987.5109958661626,601.0653272394442,409.6137160362188,702.2081419229629,217.0671318211488,487.2975626626506,603.060105609018,493.9332624118769,144.5513659369567,128.39144625028567,1115.3605512943786,226.5603819025736,93.82060757685386,108.11459829440255,183.24937280004545,140.4617583119691,184.24898824102124,898.457121476195,381.4912093590754
Sde-CMat_101 ,Matnog,107.64519542905757,170.4576072047535,166.89429123708814,107.5403719698328,110.36374797957892,198.8863710180765,248.91992623912216,246.33395143544462,149.56284032583093,148.5474737789237,388.01925863802177,315.510203664937,1668.6799735824873,531.1172174824122,598.0219481864607,694.6964666201276,937.8500962995313,833.1170778217968,411.18003631087197,340.3719318720185,817.1197632441406,245.31713991517202,1033.957276692751,726.736422886599,591.4360914964864,543.7454807290358,177.6009657194743,1373.1921550207933,350.52272382008283,107.16064892492027,142.7667079803972,306.93499216609376,183.72604016918777,220.020147725521,1164.267479853955,504.41409544350563
Sde-AMat_095 ,Matnog,92.80914513780415,135.7595207062842,135.54583816038027,95.76404716865301,90.66401503159896,136.75589983415705,181.33030821283018,227.1792071430174,119.78802061658753,138.60769750522516,300.03314499918173,263.0463404728908,1286.4548008465938,437.3017775466845,482.28682050524657,536.1524318400599,761.7397441589876,625.643348149471,288.62218477906373,249.56400754187288,646.931614956179,226.48307045790415,826.3478951412717,541.5112857004923,431.1563918825859,474.0062380041953,130.18204631749356,1107.8597292317695,239.2537877775188,94.59291146571196,109.2723954969416,201.38526130233558,126.34501096853808,179.43605877930426,888.2952676260411,398.1858461348041
