truss,p_value,p_adj
LM1-10_adj,7.16616269796625e-7,8.838267327491709e-6
LM1-2_adj,0.0012272192322066908,0.0032433651136891113
LM1-4_adj,0.3547523161425506,0.4526150240439439
LM11-17_adj,0.122908305414661,0.1749079730900945
LM11-20_adj,0.003917663577626245,0.009059597023260691
LM12-13_adj,3.209978855662071e-4,9.897434804958054e-4
LM12-14_adj,0.06365700247487038,0.10168207562122447
LM12-15_adj,0.8032460066670118,0.8491457784765554
LM13-14_adj,0.02496312941235429,0.04618178941285544
LM13-15_adj,0.06595594094349695,0.10168207562122447
LM13-16_adj,0.019320223692911923,0.03762359350724954
LM13-18_adj,0.0031832210388132946,0.007851945229072793
LM14-15_adj,0.24134608896235318,0.3189216175573953
LM14-18_adj,0.010730284190581444,0.022056695280639634
LM15-16_adj,1.1063607549477554e-6,1.0233836983266737e-5
LM15-20_adj,0.9025631624627746,0.9025631624627746
LM16-18_adj,5.568786717102099e-5,2.907805026573058e-4
LM16-19_adj,0.570709878488167,0.6598832970019431
LM17-18_adj,1.0281023717540717e-5,6.339964625816776e-5
LM17-19_adj,0.027257334375166198,0.04802482723243568
LM17-20_adj,2.3939645894920832e-4,8.857668981120708e-4
LM18-19_adj,2.9776804903722395e-4,9.897434804958054e-4
LM2-3_adj,5.1069437938040385e-6,3.779138407414989e-5
LM4-5_adj,0.6093611116443876,0.6832230645709799
LM5-6_adj,0.09015520434980441,0.13342970243771052
LM6-10_adj,6.287146003401207e-5,2.907805026573058e-4
LM6-11_adj,3.9601825762018116e-8,7.326337765973352e-7
LM6-12_adj,0.06132930372290807,0.10168207562122447
LM6-15_adj,0.39775569479349715,0.47840309723515834
LM6-9_adj,7.947592204252057e-14,2.940609115573261e-12
LM7-11_adj,0.7397458582059806,0.8050175515770964
LM7-12_adj,0.006832350362798579,0.014870409613149848
LM7-14_adj,0.40082421660242995,0.47840309723515834
LM7-9_adj,0.8371095058933739,0.8603625477237453
LM9-10_adj,1.7253761036655976e-4,7.093212870625234e-4
LM9-13_adj,0.001069200410602554,0.003043108860945731
LM9-14_adj,0.2153389403844425,0.2950941034897916
